directorate,team_full,team_short,benchmark_group,exclude
Adult Community Mental Health Services (L3),637 CMH Bromley West Central,Bromley West Central,CMH,
Adult Community Mental Health Services (L3),"638 642 718 653 Brom East ICMP, AMHP, Bor Cent & BromL East","Bromley East ICMP, AMHP, Bor Cent & BromL East",,1
Adult Community Mental Health Services (L3),638 CMH Bromley East ICMP,Bromley East ICMP,ICMP,
Adult Community Mental Health Services (L3),639 CMH Bromley West ICMP,Bromley West ICMP,ICMP,
Adult Community Mental Health Services (L3),640 CMH Greenwich Rehab Enablement,Greenwich Rehab Enablement,Rehabilitation,
Adult Community Mental Health Services (L3),643 CMH Bromley Rehab Enablement,Bromley Rehab Enablement,Rehabilitation,
Adult Acute & Crisis Mental Health (L3),644 IR&C Bromley Medical Acute,Bromley Medical Acute,Medical,
Adult Community Mental Health Services (L3),645 CMH Bromley Medical,Bromley Medical,Medical,
Adult Community Physical Health Services (L3),649 Agile Physical Health Outreach,Agile Physical Health Outreach,,
Adult Community Mental Health Services (L3),"650, 694, 718. 717 653 Bromley ICMP Maternal Central Services",Bromley ICMP Maternal Central Services,,
Adult Community Mental Health Services (L3),655 CMH Rough Sleepers Health Team,Rough Sleepers Health Team,,
Adult Acute & Crisis Mental Health (L3),680 IR&C Management,IR&C Management,Management,
Adult Acute & Crisis Mental Health (L3),685 IR&C Bromley Medical OPMH,Bromley Medical OPMH,Medical,
Adult Community Mental Health Services (L3),695 CMH Bromley Memory Service OPMH,Bromley Memory Service OPMH,Memory,
Adult Community Mental Health Services (L3),696 CMH Bromley Care Home Project OPMH,Bromley Care Home Project OPMH,,
Adult Acute & Crisis Mental Health (L3),700 IR&C Bromley Betts Ward,Bromley Betts Ward,Acute Psychiatric Ward,
Corporate (L3),709 721 Medical Staffing & Medical,Medical Staffing & Medical,,
Adult Acute & Crisis Mental Health (L3),710 IR&C Bromley Goddington Ward,Bromley Goddington Ward,,
Adult Community Mental Health Services (L3),715 CMH Bromley EIP,Bromley Early Intervention in Psychosis,Early Intervention in Psychosis,
Adult Community Mental Health Services (L3),716 CMH Bromley East Central,Bromley East Central,CMH,
Corporate (L3),725 735 761 Quality and Research,Quality and Research,,
Adult Community Mental Health Services (L3),789 CMH Bromley Psychology OPMH,Bromley Psychology OPMH,OPMH Psychology,
Adult Acute & Crisis Mental Health (L3),790 IR&C Scadbury Ward OPMH,Scadbury Ward OPMH,Acute Psychiatric Ward,
Adult Community Mental Health Services (L3),793 CMH Bromley Mental Health Hub,Bromley Mental Health Hub,Hub,
Adult Community Mental Health Services (L3),"794 789 787 Brom CMHT, Brom Psyc & Inter Care OPMH","Bromley CMHT, Brom Psyc & Inter Care OPMH",,1
Adult Community Mental Health Services (L3),794 CMH Bromley CMHT OPMH,Bromley CMHT OPMH,OPMH CMHT,
Adult Community Physical Health Services (L3),783 ACS Bexley Lymphoedema,Bexley Lymphoedema,,
