theme_id,theme,domain,subdomain,q_id,q_text,lookup
PP3_2,People's Promise,We each have a voice that counts,Raising concerns,21,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree).,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,22,I enjoy working with the colleagues in my team (Agree/Strongly agree).,I enjoy working with the colleagues in my team (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,22,I enjoy working with the colleagues in my team (Agree/Strongly agree).,I enjoy working with the colleagues in my team (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,23,I can eat nutritious and affordable food while I am working (Often/Always) .,I can eat nutritious and affordable food while I am working (Often/Always).
M_3,Other,Morale,Stressors,24,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree) .,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,24,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree) .,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,24,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree).
OV_WC_WA,Oxleas Values,We Care ,We Aim,25,My organisation takes positive action on health and well-being (Agree/Strongly agree).,My organisation takes positive action on health and well-being (Agree/Strongly agree).
PP4_1,People's Promise,We are safe and healthy,Health and safety climate,25,My organisation takes positive action on health and well-being (Agree/Strongly agree).,My organisation takes positive action on health and well-being (Agree/Strongly agree).
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,26, ï¿½ gives me clear feedback on my work,My immediate manager gives me clear feedback on my work (Agree/Strongly agree).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,27,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree) .,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).
PP7_2,People's Promise,We are a team,Line management,26,My immediate manager gives me clear feedback on my work (Agree/Strongly agree).,My immediate manager gives me clear feedback on my work (Agree/Strongly agree).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,56,"My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree).","My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree)."
PS_RS,Patient Safety,Raising Concerns,,27,I would feel secure raising concerns about unsafe clinical practice,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).
PP3_2,People's Promise,We each have a voice that counts,Raising concerns,27,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree).
M_2,Other,Morale,Work pressure,28,"I have adequate materials, supplies and equipment to do my work","I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree)."
OV_WL_WL,Oxleas Values,We Listen,We listen,28,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).","I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree)."
PS_WS,Patient Safety,Creating a workplace conducive to safety,,28,"I have adequate materials, supplies and equipment to do my work","I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree)."
PP4_1,People's Promise,We are safe and healthy,Health and safety climate,28,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).","I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree)."
OV_WC_WWN,Oxleas Values,We Care ,We will not ,29,"How often, if at all, does your work frustrate you (Never/Rarely) 49.","How often, if at all, does your work frustrate you (Never/Rarely)."
PP4_2,People's Promise,We are safe and healthy,Burnout,29,"How often, if at all, does your work frustrate you (Never/Rarely).","How often, if at all, does your work frustrate you (Never/Rarely)."
OV_WL_WL,Oxleas Values,We Listen,We listen,30,"It helped me to improve how I do my job (Yes, definitely) .","It helped me to improve how I do my job (Yes, definitely)."
PP5_2,People's Promise,We are always learning,Appraisals,30,"It helped me to improve how I do my job (Yes, definitely).","It helped me to improve how I do my job (Yes, definitely)."
NI_SPV,NHS IMPACT,Shared Purpose & Vision,,31, I am enthusiastic about my job,I am enthusiastic about my job (Often/Always).
E_1,Other,Engagement,Motivation,31, I am enthusiastic about my job,I am enthusiastic about my job (Often/Always).
NI_BIC,NHS IMPACT,Building Improvement Capability & Capacity,,42, I have a choice in deciding how to do my work,I have a choice in deciding how to do my work (Often/Always).
M_3,Other,Morale,Stressors,42, I have a choice in deciding how to do my work,I have a choice in deciding how to do my work (Often/Always).
OV_WL_WL,Oxleas Values,We Listen,We listen,42,I have a choice in deciding how to do my work (Often/Always) .,I have a choice in deciding how to do my work (Often/Always).
PP3_1,People's Promise,We each have a voice that counts,Autonomy and control,42,I have a choice in deciding how to do my work (Often/Always).,I have a choice in deciding how to do my work (Often/Always).
OV_WC_WWN,Oxleas Values,We Care ,We will not ,43,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities (No).,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities?
PP4_3,People's Promise,We are safe and healthy,Negative experiences,43,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities (No).,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of work activities?
OV_WC_WWN,Oxleas Values,We Care ,We will not ,44,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,44,Whether attended work despite not feeling well enough in the last three months,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).
PP4_3,People's Promise,We are safe and healthy,Negative experiences,44,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).,In the last three months have you ever come to work despite not feeling well enough to perform your duties (No).
E_3,Other,Engagement,Advocacy,45,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).
OV_WC_WL,Oxleas Values,We Care ,We listen,45,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).
PP1_1,People's Promise,We are compassionate and inclusive,Compassionate culture,45,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,47,I feel a strong personal attachment to my team (Agree/Strongly agree) .,I feel a strong personal attachment to my team (Agree/Strongly agree).
PP1_4,People's Promise,We are compassionate and inclusive,Inclusion,47,I feel a strong personal attachment to my team (Agree/Strongly agree).,I feel a strong personal attachment to my team (Agree/Strongly agree).
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,53, ï¿½ cares about my concerns,My immediate manager cares about my concerns (Agree/Strongly agree).
OV_WK_WL,Oxleas Values,We are Kind,We listen,53,My immediate manager cares about my concerns (Agree/Strongly agree) ,My immediate manager cares about my concerns (Agree/Strongly agree).
PP1_2,People's Promise,We are compassionate and inclusive,Compassionate leadership,53,My immediate manager cares about my concerns (Agree/Strongly agree).,My immediate manager cares about my concerns (Agree/Strongly agree).
OV_WK_WL,Oxleas Values,We are Kind,We listen,54,The people I work with show appreciation to one another (Agree/Strongly agree) .,The people I work with show appreciation to one another (Agree/Strongly agree).
PP2,People's Promise,We are recognised and rewarded,,54,The people I work with show appreciation to one another (Agree/Strongly agree).,The people I work with show appreciation to one another (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,55,The opportunities for flexible working patterns (Satisfied/Very satisfied) .,The opportunities for flexible working patterns (Satisfied/Very satisfied).
PP6_2,People's Promise,We work flexibly,Flexible working,55,The opportunities for flexible working patterns (Satisfied/Very satisfied).,The opportunities for flexible working patterns (Satisfied/Very satisfied).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,57,"We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree).","We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree)."
PS_RS,Patient Safety,Raising Concerns,,56,"My organisation treats staff who are involved in an error, near miss or incident fairly.","My organisation treats staff who are involved in an error, near miss or incident fairly (Agree/Strongly agree)."
OV_WF_WL,Oxleas Values,We are Fair ,We listen,67,"My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree).","My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree)."
PS_RS,Patient Safety,Raising Concerns,,57,"We are given feedback about changes made in response to reported errors, near misses and incidents.","We are given feedback about changes made in response to reported errors, near misses and incidents (Agree/Strongly agree)."
NI_IPC,NHS IMPACT,Investing in People & Culture,,58, There are opportunities for me to develop my career in this organisation,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,58,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).
PP5_1,People's Promise,We are always learning,Development,58,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).,There are opportunities for me to develop my career in this organisation (Agree/Strongly agree).
NI_UQM,NHS IMPACT,Using Quality Management System,,59, My organisation acts on concerns raised by patients/service users,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).
OV_WC_WL,Oxleas Values,We Care ,We listen,59,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).
PS_RS,Patient Safety,Raising Concerns,,59,My organisation acts on concerns raised byï¿½patients / service users,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).
PP1_1,People's Promise,We are compassionate and inclusive,Compassionate culture,59,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).,My organisation acts on concerns raised by patients / service users (Agree/Strongly agree).
M_1,Other,Morale,Thinking about leaving,60,I often think about leaving this organisation (Strongly disagree/Disagree).,I often think about leaving this organisation (Strongly disagree/Disagree).
OV_WL_WWN,Oxleas Values,We Listen,We will not ,60,I often think about leaving this organisation (Strongly disagree/Disagree).,I often think about leaving this organisation (Strongly disagree/Disagree).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,71,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree).","When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree)."
PP1_4,People's Promise,We are compassionate and inclusive,Inclusion,62,The people I work with are polite and treat each other with respect (Agree/Strongly agree).,The people I work with are polite and treat each other with respect (Agree/Strongly agree).
PS_PS,Patient Safety,Personal Safety,,63,"Whether experiences of harassment, bullying or abuse were reported","The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes)."
PP4_1,People's Promise,We are safe and healthy,Health and safety climate,63,"The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes).","The last time you experienced harassment, bullying or abuse at work, did you or a colleague report it (Yes)."
PS_PS,Patient Safety,Personal Safety,,64,Whether experiences of physical violence were reported,"The last time you experienced physical violence at work, did you or a colleague report it?"
PP4_1,People's Promise,We are safe and healthy,Health and safety climate,64,"The last time you experienced physical violence at work, did you or a colleague report it (Yes).","The last time you experienced physical violence at work, did you or a colleague report it?"
NI_BIC,NHS IMPACT,Building Improvement Capability & Capacity,,65, Team members understand each other's roles,Team members understand each other's roles (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,65,Team members understand each other's roles (Agree/Strongly agree) .,Team members understand each other's roles (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,65,Team members understand each other's roles (Agree/Strongly agree).,Team members understand each other's roles (Agree/Strongly agree).
NI_UQM,NHS IMPACT,Using Quality Management System,,66, I feel safe to speak up about anything that concerns me in this organisation,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).
OV_WC_WL,Oxleas Values,We Care ,We listen,66,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).
PS_RS,Patient Safety,Raising Concerns,,66,I feel safe to speak up about anything that concerns me in this organisation,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).
PP3_2,People's Promise,We each have a voice that counts,Raising concerns,66,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).,I feel safe to speak up about anything that concerns me in this organisation (Agree/Strongly agree).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,83,I am confident that my organisation would address my concern (Agree/Strongly agree).,I am confident that my organisation would address my concern (Agree/Strongly agree).
PS_RS,Patient Safety,Raising Concerns,,67,"My organisation encourages us to report errors, near misses or incidents.","My organisation encourages us to report errors, near misses or incidents (Agree/Strongly agree)."
NI_UQM,NHS IMPACT,Using Quality Management System,,68, I feel that my role makes a difference to patients/service users,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,68,I feel that my role makes a difference to patients / service users (Agree/Strongly agree) .,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).
PP1_1,People's Promise,We are compassionate and inclusive,Compassionate culture,68,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).
M_3,Other,Morale,Stressors,69,I always know what my work responsibilities are (Agree/Strongly agree).,I always know what my work responsibilities are (Agree/Strongly agree).
OV_WL_WA,Oxleas Values,We Listen,We Aim,69,I always know what my work responsibilities are (Agree/Strongly agree).,I always know what my work responsibilities are (Agree/Strongly agree).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,69,I always know what my work responsibilities are,I always know what my work responsibilities are (Agree/Strongly agree).
PP3_1,People's Promise,We each have a voice that counts,Autonomy and control,69,I always know what my work responsibilities are (Agree/Strongly agree).,I always know what my work responsibilities are (Agree/Strongly agree).
OV_WK_WL,Oxleas Values,We are Kind,We listen,70,The people I work with are understanding and kind to one another (Agree/Strongly agree).,The people I work with are understanding and kind to one another (Agree/Strongly agree).
PP1_4,People's Promise,We are compassionate and inclusive,Inclusion,70,The people I work with are understanding and kind to one another (Agree/Strongly agree).,The people I work with are understanding and kind to one another (Agree/Strongly agree).
OV_WF_WL,Oxleas Values,We are Fair ,We listen,96,"My organisation acts fairly with regard to career progression / promotion, regardless of ethnic background, gender, religion, sexual orientation, disability or age (Yes).","Does your organisation act fairly with regard to career progression / promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex or sexual orientation (Yes)."
PS_RS,Patient Safety,Raising Concerns,,71,"When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again.","When errors, near misses or incidents are reported, my organisation takes action to ensure that they do not happen again (Agree/Strongly agree)."
NI_IPC,NHS IMPACT,Investing in People & Culture,,73, This organisation offers me challenging work,This organisation offers me challenging work (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,73,This organisation offers me challenging work (Agree/Strongly agree).,This organisation offers me challenging work (Agree/Strongly agree).
PP5_1,People's Promise,We are always learning,Development,73,This organisation offers me challenging work (Agree/Strongly agree).,This organisation offers me challenging work (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,76,My team has enough freedom in how to do its work (Agree/Strongly agree).,My team has enough freedom in how to do its work (Agree/Strongly agree).
PP7_1,People's Promise,We are a team,Team working,76,My team has enough freedom in how to do its work (Agree/Strongly agree).,My team has enough freedom in how to do its work (Agree/Strongly agree).
