theme_id,theme,domain,subdomain,q_id,q_text,lookup
PS_PS,Patient Safety,Personal Safety,,99,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues?,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never).
PP4_3,People's Promise,We are safe and healthy,Negative experiences,99,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never).,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never).
PS_PS,Patient Safety,Personal Safety,,100,In the last 12 months how many times have you personally experienced physical violence at work from managers?,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never).
PP4_3,People's Promise,We are safe and healthy,Negative experiences,100,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never).,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never).
PS_PS,Patient Safety,Personal Safety,,101,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public?","In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public (Never)."
PP4_3,People's Promise,We are safe and healthy,Negative experiences,101,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public (Never).","In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public (Never)."
NI_BIC,NHS IMPACT,Building Improvement Capability & Capacity,,102, I am involved in deciding on changes introduced that affect my work area,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).
M_3,Other,Morale,Stressors,102, I am involved in deciding on changes introduced that affect my work area,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,102,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree) .,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).
PP3_1,People's Promise,We each have a voice that counts,Autonomy and control,102,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).
NI_DLB,NHS IMPACT,Development of Leadership Behaviours,,103, My immediate managerï¿½ encourages me at work,My immediate manager encourages me at work (Agree/Strongly agree).
M_3,Other,Morale,Stressors,103, My immediate managerï¿½ encourages me at work,My immediate manager encourages me at work (Agree/Strongly agree).
OV_WK_WA,Oxleas Values,We are Kind,We Aim,103,My immediate manager encourages me at work (Agree/Strongly agree) .,My immediate manager encourages me at work (Agree/Strongly agree).
PP7_2,People's Promise,We are a team,Line management,103,My immediate manager encourages me at work (Agree/Strongly agree).,My immediate manager encourages me at work (Agree/Strongly agree).
